table_name,documentation
auctioned_or_seized_vehicle_or_land,"Table : auctioned_or_seized_vehicle_or_land
Purpose : Stores data on the number of vehicles and properties seized, auctioned, and released on penalty in Bihar from 2016 to 2024.
Column Summary:
state_name : text : - Name of the state (Bihar in this case).
focus_area : text : - Department or sector focus (e.g., related to law enforcement or revenue).
year : text : - Year of data collection, ranging from 2016 to 2024.
auctioned_vehicles : text : - Number of vehicles that were auctioned.
vehicles_released_on_penalty : text : - Number of vehicles released after payment of a penalty.
seized_premises_or_land : text : - Number of premises or land parcels that were seized.
auctioned_premises_or_land : text : - Number of premises or land parcels that were auctioned.
premises_or_land_released_on_penalty : text : - Number of premises or land parcels released after payment of a penalty."
balak_balika_protsahan_yojan_number_of_beneficiaries,"Table : balak_balika_protsahan_yojan_number_of_beneficiaries
Purpose : Stores district-wise counts of beneficiaries for the Balak Balika Protsahan Yojan scheme, specifically for students passing 10th grade with 1st division, categorized by gender and social group.
Column Summary:
sector_name : text : - Sector to which the scheme belongs.
focus_area : text : - Focus area of the scheme.
scheme_name : text : - Name of the scheme (Balak Balika Protsahan Yojan).
district_name : text : - Name of the district where the beneficiaries are located.
number_of_male_beneficiaries : text : - Number of male students who are beneficiaries.
number_of_female_beneficiaries : text : - Number of female students who are beneficiaries.
number_of_economically_backward_classes : text : - Number of beneficiaries belonging to economically backward classes.
number_of_general : text : - Number of beneficiaries belonging to the general category.
number_of_scheduled_caste : text : - Number of beneficiaries belonging to the scheduled caste.
number_of_backward_class : text : - Number of beneficiaries belonging to the backward class.
number_of_scheduled_tribe : text : - Number of beneficiaries belonging to the scheduled tribe.
number_of_minorities : text : - Number of beneficiaries belonging to minority communities."
beneficiary_of_Aapda_Sampoorti,"Table : beneficiary_of_Aapda_Sampoorti
Purpose : Stores data on beneficiaries of the ""Aapda Sampoorti"" scheme in Bihar, tracking individuals who receive disaster relief and rehabilitation assistance, categorized by administrative level, age, and other relevant criteria.
Column Summary:
state_name : text : - Name of the state (Bihar in this case).
focus_area : text : - Indicates the specific department or area of focus within the scheme.
district_name : text : - Name of the district where the beneficiary resides.
block_name : text : - Name of the block where the beneficiary resides.
panchayat_name : text : - Name of the panchayat where the beneficiary resides.
category_name : text : - Category or classification of the beneficiary based on specific criteria related to the scheme.
area_type : text : - Type of area (e.g., rural, urban) where the beneficiary resides.
beneficiary_age : text : - Age of the beneficiary."
bihar_archaeological_sites_district_location_year_wise,"Table : bihar_archaeological_sites_district_location_year_wise
Purpose : Stores information about archaeological sites and historic monuments in Bihar, including their location, description, and the district they are located in.
Column Summary:
focus_area : text : - The specific area or department that the site falls under.
state_name : text : - The name of the state where the archaeological site is located (Bihar).
site_name : text : - The name of the archaeological site or historic monument.
location : text : - Specific location details of the archaeological site.
site_description : text : - A description of the archaeological site or historic monument.
district_name : text : - The name of the district in Bihar where the site is located.
year : text : - The year associated with the site (e.g., year of discovery, construction, or significance)."
bihar_archaeology_and_museums_related_schemes_year_wise_budget,"Table : bihar_archaeology_and_museums_related_schemes_year_wise_budget
Purpose : Stores year-wise budget allocations for various schemes related to archaeology and museums in Bihar for the financial years 2023-24 and 2024-25.
Column Summary:
focus_area : text : - The specific area of focus within archaeology and museums that the scheme addresses.
state_name : text : - Name of the state (Bihar).
scheme_name : text : - Name of the specific scheme related to archaeology and museums.
budget_type : text : - Type of budget allocation (e.g., planned, actual).
budget_value_in_lakh : text : - Budget allocated to the scheme, expressed in lakhs (Indian Rupees).
year : text : - Financial year for which the budget is allocated (e.g., 2023-24, 2024-25)."
bihar_climate_resilient_agriculture_data,"Table : bihar_climate_resilient_agriculture_data
Purpose : Stores year-wise and crop-season-wise data on Bihar's climate-resilient agricultural initiatives from 2019–20 to 2023–24, including targeted and achieved production figures.
Column Summary:
focus_area : text : - Indicates the specific area of focus for the agricultural initiative.
state : text : - Name of the state (Bihar).
year : text : - The year for which the data is recorded (e.g., 2019-20).
crop_season : text : - The crop season to which the data pertains (e.g., Rabi, Kharif, Summer).
targeted_districts : text : - The number of districts targeted by the initiative.
target_in_tons : text : - The targeted production volume in tons.
achieved_in_tons : text : - The actual production volume achieved in tons.
achievement_percentage : text : - The percentage of the target achieved."
bihar_dams_operational_information,"Table : bihar_dams_operational_information
Purpose : Stores operational information about dams in Bihar, including location, structural details, and capacity.
Column Summary:
name_of_dam : text : - Name of the dam.
latitude : text : - Latitude coordinate of the dam's location.
longitude : text : - Longitude coordinate of the dam's location.
year : text : - Year of dam construction or operational data.
river : text : - Name of the river on which the dam is built.
district : text : - District in Bihar where the dam is located.
height_above_lowest_foundation_level_in_meters : text : - Height of the dam above its lowest foundation level, measured in meters.
dam_length_in_meters : text : - Length of the dam structure, measured in meters.
gross_storage_capacity_in_1000m3 : text : - Total storage capacity of the dam's reservoir, measured in 1000 cubic meters.
reservoir_area_in_1000m2 : text : - Surface area of the dam's reservoir, measured in 1000 square meters.
effective_storage_capacity_in_1000m3 : text : - Usable or functional storage capacity of the dam's reservoir, measured in 1000 cubic meters.
designed_spillway_capacity_in_cubic_meters_per_second : text : - Maximum discharge capacity of the dam's spillway, measured in cubic meters per second."
bihar_district_wise_shooting_locations,"Table : bihar_district_wise_shooting_locations
Purpose : Contains information about locations suitable for film and photography shoots in various districts of Bihar.
Column Summary:
focus_area : text : - Specifies the department or sector that collected or manages the data.
year : text : - Year when the shooting location data was recorded or assessed.
state_name : text : - Name of the state where the shooting location is situated (Bihar).
district_name : text : - Name of the district in Bihar where the shooting location is present.
shooting_location : text : - Specific location within the district that is suitable for shooting (films, photography, etc.)."
bihar_electricity_board_operational_performance_year_wise,"Table : bihar_electricity_board_operational_performance_year_wise
Purpose : Stores year-wise operational performance data for the Bihar Electricity Board, including details on various operational aspects and their corresponding values and units.
Column Summary:
focus_area : text : - The specific area of focus within the Bihar Electricity Board's operations (e.g., Generation, Distribution).
state_name : text : - Name of the state for which the data is recorded (Bihar).
particulars : text : - Specific operational parameter or metric being tracked (e.g., Total Power Generated, Distribution Losses).
year : text : - The year to which the operational performance data pertains.
value : text : - The measured value for the specified particular in the given year.
unit : text : - The unit of measurement for the 'value' column (e.g., MW, %, kWh)."
bihar_hall_art_gallery_reservation_details,"Table : bihar_hall_art_gallery_reservation_details
Purpose : Stores reservation details for art galleries and halls in Bihar, including capacity, deposit amount, and reservation fees.
Column Summary:
focus_area : text : - The department or sector under which the data is collected.
year : text : - The year for which the reservation details are recorded.
state_name : text : - The name of the state (Bihar).
district_name : text : - The name of the district where the hall or gallery is located.
location : text : - Specific location of the hall or art gallery.
description : text : - A description of the hall or art gallery.
capacity : text : - The seating or holding capacity of the hall or art gallery.
deposit_amount_in_rupees : text : - The deposit amount required for reservation in Indian Rupees.
reservation_fee_per_day_in_rupees : text : - The reservation fee charged per day in Indian Rupees."
bihar_irrigation_data,"Table : bihar_irrigation_data
Purpose : Stores historical irrigation data for Bihar, providing details on irrigation targets and achievements for the Kharif, Rabi, and Hot Weather seasons, reported annually.
Column Summary:
financial_year : text : - The financial year for which the irrigation data is recorded (e.g., 1987-88 to 2021-22).
potential_created_in_thousand_hectare : text : - The potential irrigation capacity created, measured in thousands of hectares.
kharif_target_in_thousand_hectare : text : - The irrigation target for the Kharif season, measured in thousands of hectares.
kharif_irrigation_in_thousand_hectare : text : - The actual irrigation achieved during the Kharif season, measured in thousands of hectares.
kharif_sudkar_in_thousand_hectare : text : - Adjustment or reduction to the Kharif target, measured in thousands of hectares.
rabbi_target_in_thousand_hectare : text : - The irrigation target for the Rabi season, measured in thousands of hectares.
rabbi_irrigation_in_thousand_hectare : text : - The actual irrigation achieved during the Rabi season, measured in thousands of hectares.
rabbi_sudkar_in_thousand_hectare : text : - Adjustment or reduction to the Rabi target, measured in thousands of hectares.
hot_weather_target_in_thousand_hectare : text : - The irrigation target for the Hot Weather season, measured in thousands of hectares.
hot_weather_irrigation_in_thousand_hectare : text : - The actual irrigation achieved during the Hot Weather season, measured in thousands of hectares.
hot_weather_sudkar_in_thousand_hectare : text : - Adjustment or reduction to the Hot Weather target, measured in thousands of hectares.
total_irrigation_in_thousand_hectare : text : - The total irrigation achieved across all seasons, measured in thousands of hectares.
total_sudkar_in_thousand_hectare : text : - The total adjustments or reductions to the irrigation targets across all seasons, measured in thousands of hectares."
bihar_monuments_district_wise_year_wise_details,"Table : bihar_monuments_district_wise_year_wise_details
Purpose : Stores district-wise and year-wise details of monuments in Bihar, including their names and locations.
Column Summary:
focus_area : text : - The department or area of focus for the data collection.
state_name : text : - Name of the state (Bihar).
year : text : - Year the monument data was recorded or is relevant to.
district_name : text : - Name of the district in Bihar where the monument is located.
monument_name : text : - Name of the monument.
monument_location : text : - Specific location or address of the monument."
bihar_museums_data_with_ownership_and_highlights,"Table : bihar_museums_data_with_ownership_and_highlights
Purpose : Stores information about museums located in Bihar, including their ownership, location details, and highlights of their exhibits.
Column Summary:
focus_area : text : - The department or sector to which the museum data pertains.
state_name : text : - The name of the state where the museum is located (Bihar).
year : text : - The year of data collection or reporting.
museum_name : text : - The name of the museum.
district_name : text : - The name of the district where the museum is located.
location : text : - Specific location details of the museum.
established_year : text : - The year the museum was established or founded.
highlights : text : - Key features, exhibits, or attractions of the museum.
ownership : text : - The type of ownership or governing body of the museum (e.g., Government, Private)."
bihar_state_disability_pension_district_wise_year_wise,"Table : bihar_state_disability_pension_district_wise_year_wise
Purpose : Stores district-wise and year-wise data on the Bihar State Disability Pension scheme, including beneficiary details, disbursement amounts, and transaction information at various administrative levels.
Column Summary:
state_name : text : - Name of the state (Bihar).
focus_area : text : - Department or sector focus (e-labharthi scheme).
year : text : - Year of data collection for the disability pension scheme.
district_name : text : - Name of the district in Bihar.
block_name : text : - Name of the block within the district.
panchayat_name : text : - Name of the panchayat within the block.
village_name : text : - Name of the village within the panchayat.
benefit_transfer_mode : text : - Mode of benefit transfer (e.g., direct benefit transfer).
amount : text : - Amount of pension disbursed.
no_of_beneficiaries_transactions : text : - Number of beneficiaries or transactions related to the pension disbursement."
bihar_state_disability_pension_progress_report,"Table : bihar_state_disability_pension_progress_report
Purpose : Stores data on the progress of the Bihar State Disability Pension scheme, tracking applications received, pending at various stages (DEO verification, panchayat verification, provisional verification, error correction, approval), approved, and rejected applications across different districts of Bihar.
Column Summary:
year : text : - Year for which the disability pension progress data is recorded.
state_name : text : - Name of the state (Bihar).
focus_area : text : - The department or area of focus related to the data.
scheme_name : text : - Name of the disability pension scheme.
district_name : text : - Name of the district in Bihar.
total_number_of_applications_received : text : - Total number of applications received for the disability pension scheme in the district.
pending_applications_with_deo : text : - Number of applications pending with the Data Entry Operator (DEO) for verification.
pending_applications_for_panchayat_verification : text : - Number of applications pending for verification at the panchayat level.
pending_applications_for_provisional_verification : text : - Number of applications pending for provisional verification.
new_pending_applications_within_district : text : - Number of newly pending applications within the district.
pending_applications_for_error_correction : text : - Number of applications pending for error correction.
new_and_error_correction_pending_applications : text : - Number of applications that are either new or pending for error correction.
pending_applications_for_approval : text : - Number of applications pending final approval.
approved_applications : text : - Number of applications that have been approved for the disability pension.
rejected_applications : text : - Number of applications that have been rejected for the disability pension."
block_wise_panchayat_wise_damaged_crops,"Table : block_wise_panchayat_wise_damaged_crops
Purpose : Stores data about damaged crops in Bihar, categorized by block, panchayat, and revenue thana, including the area affected.
Column Summary:
block_name : text : - Name of the block where the crop damage occurred.
panchayat_name : text : - Name of the panchayat where the crop damage occurred.
revenue_thana_name : text : - Name of the revenue thana associated with the affected area.
damaged_crop : text : - Type of crop that has been damaged (e.g., wheat).
state_name : text : - Name of the state where the data is recorded (Bihar).
focus_area : text : - Department or sector focus (likely Agriculture).
area_in_acre : text : - Area of the damaged crop measured in acres."
blocks_ghats_kilns_mineral_wise,"Table : blocks_ghats_kilns_mineral_wise
Purpose : Stores data on the number of operational blocks, ghats, and kilns associated with different minerals in various districts of Bihar.
Column Summary:
state_name : text : - Name of the state (Bihar).
focus_area : text : - Department or sector focus area (e.g., Mining).
mineral : text : - Type of mineral being extracted or processed (e.g., sand, limestone).
category : text : - Category of the mineral (e.g., Minor Minerals, Major Minerals).
district_name : text : - Name of the district where the mineral resources are located.
number_of_blocks : text : - Number of operational blocks associated with the specific mineral in the district.
number_of_ghats : text : - Number of ghats (riverbanks or access points) used for mineral extraction or transportation in the district.
number_of_kilns : text : - Number of kilns used for processing the mineral in the district."
brick_kilns_district_wise,"Table : brick_kilns_district_wise
Purpose : Stores district-wise data on the number of brick kilns in Bihar for the financial year 2023-24, providing insights into the distribution of brick production across the state.
Column Summary:
state_name : text : - Name of the state (Bihar).
focus_area : text : - Department or sector the data falls under.
district_name : text : - Name of the district in Bihar.
number_of_brick_kilns : text : - Number of brick kilns in the specified district.
financial_year : text : - The financial year for which the data is recorded (2023-24)."
building_construction_measurement_book_records_year_wise,"Table : building_construction_measurement_book_records_year_wise
Purpose : Stores records of measurement book entries for building construction projects under the Building Construction Department in Bihar, including project details, recorded amounts, and entry dates.
Column Summary:
focus_area : text : - Department or sector under which the project falls (e.g., Building Construction Department).
state_name : text : - Name of the state where the project is located (Bihar).
project_work_id : text : - Unique identifier for the specific project work.
amount_recorded_in _measurement_book_in_rupees : text : - Amount recorded in the measurement book for the project work, in Indian Rupees.
measurement_book_entry_year : text : - Year in which the measurement book entry was made.
measurement_book_entry_month : text : - Month in which the measurement book entry was made.
measurement_book_entry_day : text : - Day on which the measurement book entry was made."
building_project_funding_records_departmentwise,"Table : building_project_funding_records_departmentwise
Purpose : Stores detailed records of funding, budget, and project information for building construction projects undertaken by the Building Construction Department of Bihar for various departments.
Column Summary:
focus_area : text : - The department or sector to which the building construction project belongs.
state_name : text : - The name of the state where the project is being carried out (Bihar).
department_name : text : - The specific department for which the building construction project is being executed.
project_description : text : - A textual description of the building construction project.
approved_budget_amount_in_rupees : bigint : - The total budget approved for the project, in Indian Rupees.
allocated_funds_in_rupees : bigint : - The amount of funds that have been allocated to the project, in Indian Rupees.
requested_funds_in_rupees : bigint : - The amount of funds that have been requested for the project, in Indian Rupees.
is_payment_pending : text : - Indicates whether payment for the project is currently pending (Yes/No or similar).
is_record_reviewed : text : - Indicates whether the record has been reviewed (Yes/No or similar).
year : text : - The year in which the record was created or is relevant to.
record_month_name : text : - The month in which the record was created.
record_day : text : - The day of the month on which the record was created."
business_overview_of_vegfed_district_wise_year_wise,"Table : business_overview_of_vegfed_district_wise_year_wise
Purpose : Stores data regarding the business overview of the VEGFED initiative in Bihar, providing details on vegetable sales and revenue generated across districts on a yearly basis.
Column Summary:
focus_area : text : - The specific area or department within VEGFED responsible for the data.
state_name : text : - Name of the state where VEGFED operates (Bihar).
district_name : text : - Name of the district in Bihar where vegetables are sold.
year : text : - The year for which the sales and revenue data is recorded (2021-22 to 2024-25).
vegetables_sold_in_metric_tons : text : - Amount of vegetables sold, measured in metric tons.
revenue_generated_in_rupee : text : - The revenue generated from vegetable sales, measured in Indian Rupees."
call_center_based_raids_arrests_district_wise_year_wise,"Table : call_center_based_raids_arrests_district_wise_year_wise
Purpose : Stores district-wise data on complaints received by call centers, the resulting raids conducted, and arrests made by Bihar's Prohibition and Excise department from 2018 to 2024.
Column Summary:
state_name : text : - Name of the state (Bihar in this case).
focus_area : text : - Department or area of focus (Prohibition and Excise).
district_name : text : - Name of the district in Bihar.
type_of_raid : text : - Type or description of the raid conducted.
year : text : - Year in which the complaints, raids, and arrests occurred (2018-2024).
total_complaints : text : - Total number of complaints received by the call center.
number_of_raids : text : - Number of raids conducted based on the complaints.
number_of_arrests : text : - Number of arrests made as a result of the raids."
cattle_breed_population_district_wise_in_bihar,"Table : cattle_breed_population_district_wise_in_bihar
Purpose : Stores district-wise cattle population data in Bihar, categorized by breed, with population figures sourced from the Livestock Population Breedwise survey of 2013.
Column Summary:
sector_name : varchar : - Name of the sector to which the data belongs.
sector_id : varchar : - ID of the sector.
focus_area : varchar : - Specifies the area of focus for the data collection.
cattle_name : varchar : - Name of the cattle breed (e.g., Bachaur, Hairana, Holstein Friesian exotic and crossbred, jersery and exotic crossbred, murrah, sahiwal and surti).
state_name : varchar : - Name of the state (Bihar).
district_name : varchar : - Name of the district in Bihar.
cattle_item : varchar : - Type of cattle related item (Population in this case).
cattle_value : varchar : - Population value for the corresponding cattle breed in the district.
cattle_unit : varchar : - Unit of measurement for the cattle value (Number).
source : varchar : - Source of the data (Livestock Population Breedwise, Based on Breed Survey, 2013, Department of Animal Husbandry, Dairying and Fisheries, Govt. of India).
year : int : - Year of the data collection (2013)."
cattle_milk_production_district_wise_bihar,"Table : cattle_milk_production_district_wise_bihar
Purpose : Stores data regarding milk production by cattle type (bovine, buffalo, crossbreed, indigenous) in different districts of Bihar for the year 2017-18.
Column Summary:
sector_name : varchar : - Name of the sector under which the data is collected.
sector_id : varchar : - ID of the sector under which the data is collected.
focus_area : varchar : - Indicates the department or area of focus for the data.
cattle_name : varchar : - Type of cattle for which milk production is recorded (e.g., Bovine, Buffalo, Crossbreed, Indigenous).
year : varchar : - The year for which the milk production data is recorded (2017-18).
cattle_item : varchar : - Specific item related to cattle (likely related to type or breed clarification).
state_name : varchar : - Name of the state (Bihar).
district_name : varchar : - Name of the district in Bihar.
milk_production : varchar : - Amount of milk produced.
unit : varchar : - Unit of measurement for milk production (Million tonnes).
source : varchar : - Source of the data (Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar)."
census_2011_industrial_category_main_workers_age_wise_details,"Table : census_2011_industrial_category_main_workers_age_wise_details
Purpose : Contains information about the number of main workers in rural areas, categorized by age group, gender (males and females), and industrial category, based on the 2011 census data.
Column Summary:
state_name : text : - Name of the state.
district_name : text : - Name of the district.
year : text : - Year of the census data (2011).
focus_area : text : - Indicates the area of focus or data collection (likely related to census operations).
area_type : text : - Type of area (e.g., rural, urban, or combined).
age_group : text : - Age group of the workers (e.g., 15-19, 20-24, etc.).
cultivators_males : text : - Number of male main workers engaged as cultivators.
cultivators_females : text : - Number of female main workers engaged as cultivators.
agricultural_labourers_males : text : - Number of male main workers engaged as agricultural labourers.
agricultural_labourers_females : text : - Number of female main workers engaged as agricultural labourers.
forestry_and_fishing_males : text : - Number of male main workers engaged in forestry and fishing activities.
forestry_and_fishing_females : text : - Number of female main workers engaged in forestry and fishing activities.
mining_and_quarrying_males : text : - Number of male main workers engaged in mining and quarrying activities.
mining_and_quarrying_females : text : - Number of female main workers engaged in mining and quarrying activities.
hhi_manufacturing_males : text : - Number of male main workers engaged in household industry (HHI) manufacturing.
hhi_manufacturing_females : text : - Number of female main workers engaged in household industry (HHI) manufacturing.
non_hhi_manufacturing_males : text : - Number of male main workers engaged in non-household industry (Non-HHI) manufacturing.
non_hhi_manufacturing_females : text : - Number of female main workers engaged in non-household industry (Non-HHI) manufacturing.
electricity_and_watersupply_males : text : - Number of male main workers engaged in electricity and water supply.
electricity_and_watersupply_females : text : - Number of female main workers engaged in electricity and water supply.
construction_males : text : - Number of male main workers engaged in construction activities.
construction_females : text : - Number of female main workers engaged in construction activities.
hhi_wholesale_and_retail_trade_males : text : - Number of male main workers engaged in household industry (HHI) wholesale and retail trade.
hhi_wholesale_and_retail_trade_females : text : - Number of female main workers engaged in household industry (HHI) wholesale and retail trade.
non_hhi_wholesale_and_retail_trade_males : text : - Number of male main workers engaged in non-household industry (Non-HHI) wholesale and retail trade.
non_hhi_wholesale_and_retail_trade_females : text : - Number of female main workers engaged in non-household industry (Non-HHI) wholesale and retail trade.
transportation_and_storage_males : text : - Number of male main workers engaged in transportation and storage.
transportation_and_storage_females : text : - Number of female main workers engaged in transportation and storage.
accomodation_and_food_service_males : text : - Number of male main workers engaged in accommodation and food service activities.
accomodation_and_food_service_females : text : - Number of female main workers engaged in accommodation and food service activities.
hhi_information_and_communication_males : text : - Number of male main workers engaged in household industry (HHI) information and communication.
hhi_information_and_communication_females : text : - Number of female main workers engaged in household industry (HHI) information and communication.
non_hhi_information_and_communication_males : text : - Number of male main workers engaged in non-household industry (Non-HHI) information and communication.
non_hhi_information_and_communication_females : text : - Number of female main workers engaged in non-household industry (Non-HHI) information and communication.
financial_real_estate_professional_males : text : - Number of male main workers engaged in financial, real estate, and professional activities.
financial_real_estate_professional_females : text : - Number of female main workers engaged in financial, real estate, and professional activities.
administrative_public_defence_males : text : - Number of male main workers engaged in administrative, public, and defence services.
administrative_public_defence_females : text : - Number of female main workers engaged in administrative, public, and defence services.
education_human_health_males : text : - Number of male main workers engaged in education and human health services.
education_human_health_females : text : - Number of female main workers engaged in education and human health services.
hhi_arts_otherservices_males : text : - Number of male main workers engaged in household industry (HHI) arts and other services.
hhi_arts_otherservices_females : text : - Number of female main workers engaged in household industry (HHI) arts and other services.
non_hhi_arts_otherservices_males : text : - Number of male main workers engaged in non-household industry (Non-HHI) arts and other services.
non_hhi_arts_otherservices_females : text : - Number of female main workers engaged in non-household industry (Non-HHI) arts and other services."
census_2011_industrial_category_main_workers_educational_wise,"Table : census_2011_industrial_category_main_workers_educational_wise
Purpose : Stores data on the occupational distribution of workers in various states for the year 2011, categorized by gender, educational level (literate/illiterate), area type (rural/urban), and industry.
Column Summary:
state_name : text : - Name of the state.
district_name : text : - Name of the district.
year : text : - Year of the census data (2011).
focus_area : text : - Indicates the focus area of the data collection, likely related to census operations.
area_type : text : - Type of area, either rural or urban.
literacy_status : text : - Literacy status of the workers (literate or illiterate).
cultivators_males : text : - Number of male cultivators.
cultivators_females : text : - Number of female cultivators.
agricultural_labourers_males : text : - Number of male agricultural laborers.
agricultural_labourers_females : text : - Number of female agricultural laborers.
forestry_and_fishing_males : text : - Number of males working in forestry and fishing.
forestry_and_fishing_females : text : - Number of females working in forestry and fishing.
mining_and_quarrying_males : text : - Number of males working in mining and quarrying.
mining_and_quarrying_females : text : - Number of females working in mining and quarrying.
hhi_manufacturing_males : text : - Number of males working in household industry manufacturing.
hhi_manufacturing_females : text : - Number of females working in household industry manufacturing.
non_hhi_manufacturing_males : text : - Number of males working in non-household industry manufacturing.
non_hhi_manufacturing_females : text : - Number of females working in non-household industry manufacturing.
electricity_and_watersupply_males : text : - Number of males working in electricity and water supply.
electricity_and_watersupply_females : text : - Number of females working in electricity and water supply.
construction_males : text : - Number of males working in construction.
construction_females : text : - Number of females working in construction.
hhi_wholesale_and_retail_trade_males : text : - Number of males working in household industry wholesale and retail trade.
hhi_wholesale_and_retail_trade_females : text : - Number of females working in household industry wholesale and retail trade.
non_hhi_wholesale_and_retail_trade_males : text : - Number of males working in non-household industry wholesale and retail trade.
non_hhi_wholesale_and_retail_trade_females : text : - Number of females working in non-household industry wholesale and retail trade.
transportation_and_storage_males : text : - Number of males working in transportation and storage.
transportation_and_storage_females : text : - Number of females working in transportation and storage.
accomodation_and_food_service_males : text : - Number of males working in accommodation and food service activities.
accomodation_and_food_service_females : text : - Number of females working in accommodation and food service activities.
hhi_information_and_communication_males : text : - Number of males working in household industry information and communication.
hhi_information_and_communication_females : text : - Number of females working in household industry information and communication.
non_hhi_information_and_communication_males : text : - Number of males working in non-household industry information and communication.
non_hhi_information_and_communication_females : text : - Number of females working in non-household industry information and communication.
financial_real_estate_professional_males : text : - Number of males working in financial, real estate, and professional activities.
financial_real_estate_professional_females : text : - Number of females working in financial, real estate, and professional activities.
administrative_public_defence_males : text : - Number of males working in administrative, public, and defence sectors.
administrative_public_defence_females : text : - Number of females working in administrative, public, and defence sectors.
education_human_health_males : text : - Number of males working in education and human health.
education_human_health_females : text : - Number of females working in education and human health.
hhi_arts_otherservices_males : text : - Number of males working in household industry arts and other services.
hhi_arts_otherservices_females : text : - Number of females working in household industry arts and other services.
non_hhi_arts_otherservices_males : text : - Number of males working in non-household industry arts and other services.
non_hhi_arts_otherservices_females : text : - Number of females working in non-household industry arts and other services."
census_2011_industrial_category_marginal_workers_age_wise,"Table : census_2011_industrial_category_marginal_workers_age_wise
Purpose : Contains data on marginal workers in rural areas from the 2011 census, classified by age group, gender, and industrial category, including information on the duration of their work.
Column Summary:
state_name : text : - Name of the state.
district_name : text : - Name of the district.
year : text : - Year of the census (2011).
focus_area : text : - Indicates the focus or scope of the data collection.
area_type : text : - Type of area (e.g., rural, urban).
age_group : text : - Age group of the marginal workers.
mgw_worked_more_three_less_six_months_males : text : - Number of male marginal workers who worked for more than three months but less than six months.
mgw_worked_more_three_less_six_months_females : text : - Number of female marginal workers who worked for more than three months but less than six months.
mgw_worked_less_three_months_males : text : - Number of male marginal workers who worked for less than three months.
mgw_worked_less_three_months_females : text : - Number of female marginal workers who worked for less than three months.
cultivators_males : text : - Number of male marginal workers engaged as cultivators.
cultivators_females : text : - Number of female marginal workers engaged as cultivators.
agricultural_labourers_males : text : - Number of male marginal workers engaged as agricultural laborers.
agricultural_labourers_females : text : - Number of female marginal workers engaged as agricultural laborers.
forestry_and_fishing_males : text : - Number of male marginal workers engaged in forestry and fishing.
forestry_and_fishing_females : text : - Number of female marginal workers engaged in forestry and fishing.
mining_and_quarrying_males : text : - Number of male marginal workers engaged in mining and quarrying.
mining_and_quarrying_females : text : - Number of female marginal workers engaged in mining and quarrying.
hhi_manufacturing_males : text : - Number of male marginal workers engaged in household industry (HHI) manufacturing.
hhi_manufacturing_females : text : - Number of female marginal workers engaged in household industry (HHI) manufacturing.
non_hhi_manufacturing_males : text : - Number of male marginal workers engaged in non-household industry (Non-HHI) manufacturing.
non_hhi_manufacturing_females : text : - Number of female marginal workers engaged in non-household industry (Non-HHI) manufacturing.
electricity_and_watersupply_males : text : - Number of male marginal workers engaged in electricity and water supply.
electricity_and_watersupply_females : text : - Number of female marginal workers engaged in electricity and water supply.
construction_males : text : - Number of male marginal workers engaged in construction.
construction_females : text : - Number of female marginal workers engaged in construction.
hhi_wholesale_and_retail_trade_males : text : - Number of male marginal workers engaged in household industry (HHI) wholesale and retail trade.
hhi_wholesale_and_retail_trade_females : text : - Number of female marginal workers engaged in household industry (HHI) wholesale and retail trade.
non_hhi_wholesale_and_retail_trade_males : text : - Number of male marginal workers engaged in non-household industry (Non-HHI) wholesale and retail trade.
non_hhi_wholesale_and_retail_trade_females : text : - Number of female marginal workers engaged in non-household industry (Non-HHI) wholesale and retail trade.
transportation_and_storage_males : text : - Number of male marginal workers engaged in transportation and storage.
transportation_and_storage_females : text : - Number of female marginal workers engaged in transportation and storage.
accomodation_and_food_service_males : text : - Number of male marginal workers engaged in accommodation and food services.
accomodation_and_food_service_females : text : - Number of female marginal workers engaged in accommodation and food services.
hhi_information_and_communication_males : text : - Number of male marginal workers engaged in household industry (HHI) information and communication.
hhi_information_and_communication_females : text : - Number of female marginal workers engaged in household industry (HHI) information and communication.
non_hhi_information_and_communication_males : text : - Number of male marginal workers engaged in non-household industry (Non-HHI) information and communication.
non_hhi_information_and_communication_females : text : - Number of female marginal workers engaged in non-household industry (Non-HHI) information and communication.
financial_real_estate_professional_males : text : - Number of male marginal workers engaged in financial, real estate, and professional services.
financial_real_estate_professional_females : text : - Number of female marginal workers engaged in financial, real estate, and professional services.
administrative_public_defence_males : text : - Number of male marginal workers engaged in administrative, public, and defence services.
administrative_public_defence_females : text : - Number of female marginal workers engaged in administrative, public, and defence services.
education_human_health_males : text : - Number of male marginal workers engaged in education and human health services.
education_human_health_females : text : - Number of female marginal workers engaged in education and human health services.
hhi_arts_otherservices_males : text : - Number of male marginal workers engaged in household industry (HHI) arts and other services.
hhi_arts_otherservices_females : text : - Number of female marginal workers engaged in household industry (HHI) arts and other services.
non_hhi_arts_otherservices_males : text : - Number of male marginal workers engaged in non-household industry (Non-HHI) arts and other services.
non_hhi_arts_otherservices_females : text : - Number of female marginal workers engaged in non-household industry (Non-HHI) arts and other services."
