table_name,column_name,position,column_type,nullable
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_for_instructional_purpose_pre_primary,59,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_for_instructional_purpose_primary,60,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_for_instructional_purpose_upper_primary,61,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_for_instructional_purpose_secondary,62,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_classrooms_for_instructional_purpose_higher_secondary,63,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_other_rooms,64,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_land_available_for_expand_school_facilities,65,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_land_not_available_for_expand_school_facilities,66,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_with_toilet,67,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_without_toilet,68,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_with_handwashing_facility_toilet_urinal,69,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_without_handwashing_facility_toilet_urinal,70,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_incinerator_avail_in_girls_toilets,71,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_incinerator_avail_in_girls_toilets,72,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_drinking_water_available,73,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_drinking_water_available,74,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_handpump_available,75,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_handpump_available,76,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_functional_handpump,77,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_functional_handpump,78,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_having_protected_well,79,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_schools_not_having_protected_well,80,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_functional_protected,81,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_functional_protected,82,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_unprotected_well,83,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_unprotected_well,84,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_functional_unprotected_well,85,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_functional_unprotected_well,86,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_od_school_having_tap_water,87,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_tap_water,88,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_functional_tap_water,89,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_functional_tap_water,90,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_packaged_bottled_water,91,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_packaged_bottled_water,92,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_functional_packaged_bottled_water,93,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_func_packaged_bottled_water,94,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_other_drinking_water_sources,95,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_other_drinking_water_sources,96,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_func_other_drinking_water_sources,97,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_func_other_drinking_water_sources,98,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_water_purifier_in_school,99,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_water_purifier_in_school,100,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_water_quality_tested,101,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_water_quality_tested,102,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_rainwater_harvesting_in_school,103,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_rainwater_harvesting_in_school,104,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_handwashing_after_meal_in_school,105,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_handwashing_after_meal_in_school,106,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_wash_points_in_school,107,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_electricity_in_school,108,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_electricity_in_school,109,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_library_books,110,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_ncert_books_in_library,111,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_books_in_book_bank,112,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_ncert_books_in_book_bank,113,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_books_in_reading_corner,114,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,school_arrangement_for_playing,115,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,condition_of_last_year_medical_checkup,116,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_solar_panels,117,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_solar_panels,118,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_library_in_school,119,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_library_in_school,120,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_book_bank,121,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_book_bank,122,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_reading_corner,123,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_reading_corner,124,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_librarian_available,125,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_librarian_available,126,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_newspapers_and_magazines,127,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_newspapers_and_magazines,128,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_playground_facility,129,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_playground_facility,130,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_alternative_playground_arrangement,131,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_alternative_playground_arrangement,132,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_medical_checkup,133,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_medical_checkup,134,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_health_height_in_school,135,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_health_height_in_school,136,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_health_weight_in_school,137,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_health_weight_in_school,138,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_health_eyes_in_school,139,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_health_eyes_in_school,140,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_health_dental_in_school,141,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_health_dental_in_school,142,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_health_throat_in_school,143,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_health_throat_in_school,144,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_school_having_annual_health_record,145,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_school_having_annual_health_record,146,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_thermal_scanner_in_school,147,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_thermal_scanner_in_school,148,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_first_aid_kit_in_school,149,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_first_aid_kit_in_school,150,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_medicines_in_schools,151,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_medicines_in_schools,152,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_iron_and_folic_acid_tablets,153,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_iron_and_folic_acid_tablets,154,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_ramp_in_school,155,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_ramp_in_school,156,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_hand_rails_in_school,157,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_hand_rails_in_school,158,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_kitchen_garden_in_school,159,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_kitchen_garden_in_school,160,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_kitchen_shed_in_school,161,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_kitchen_shed_in_school,162,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_having_kitchen_dustbin_in_school,163,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_school_not_having_kitchen_dustbin_in_school,164,int,YES
Bihar_District_block_wise_School_infrastructure_and_facilities,number_of_students_with_furniture,165,int,YES
Bihar_district_wise_fire_vehicle,type_of_fire_vehicle,1,text,YES
Bihar_district_wise_fire_vehicle,number_of_fire_vehicle,2,text,YES
Bihar_district_wise_fire_vehicle,district_name,3,text,YES
Bihar_district_wise_fire_vehicle,dist_Code,4,text,YES
Bihar_district_wise_fire_vehicle,latitude,5,text,YES
Bihar_district_wise_fire_vehicle,longitude,6,text,YES
Bihar_district_wise_fire_vehicle,location_of_vehicle,7,text,YES
Bihar_district_wise_fire_vehicle,range_name,8,text,YES
Bihar_district_wise_water_hydrant,hydrant_source,1,text,YES
Bihar_district_wise_water_hydrant,district_name,2,text,YES
Bihar_district_wise_water_hydrant,water_hydrant_type,3,text,YES
Bihar_district_wise_water_hydrant,latitude,4,text,YES
Bihar_district_wise_water_hydrant,longitude,5,text,YES
Bihar_district_wise_water_hydrant,hydrant_location,6,text,YES
Bihar_district_wise_water_hydrant,district_code,7,text,YES
Bihar_district_wise_water_hydrant,range_name,8,text,YES
Bihar_jp_senani_scheme_District_wise,district_name,1,text,YES
Bihar_jp_senani_scheme_District_wise,gender,2,text,YES
Bihar_jp_senani_scheme_District_wise,age_of_pensioner,3,text,YES
Bihar_jp_senani_scheme_District_wise,matchingScore,4,text,YES
Bihar_jp_senani_scheme_District_wise,pension_amount,5,text,YES
Bihar_jp_senani_scheme_District_wise,state_name,6,text,YES
Bihar_jp_senani_scheme_District_wise,focus_area,7,text,YES
Bihar_police_station,area_id,1,text,YES
Bihar_police_station,district_Code,2,text,YES
Bihar_police_station,district_name,3,text,YES
Bihar_police_station,police_station,4,text,YES
Bihar_police_station,circle_Name,5,text,YES
Bihar_police_station,subdivision_Name,6,text,YES
Bihar_police_station,subdivision_Code,7,text,YES
Bihar_police_station,range_id,8,text,YES
Bihar_police_station,rangeName,9,text,YES
Biharsharif_smartcity_projectwise_progress_report,state_name,1,text,YES
Biharsharif_smartcity_projectwise_progress_report,district_name,2,text,YES
Biharsharif_smartcity_projectwise_progress_report,focus_area,3,text,YES
Biharsharif_smartcity_projectwise_progress_report,project_Name,4,text,YES
Biharsharif_smartcity_projectwise_progress_report,project_cost_in_crore,5,text,YES
Biharsharif_smartcity_projectwise_progress_report,year,6,text,YES
Biharsharif_smartcity_projectwise_progress_report,physical_Progress_in_percentage,7,text,YES
Biharsharif_smartcity_projectwise_progress_report,financial_progress_in_percentage,8,text,YES
Biharsharif_smartcity_projectwise_progress_report,remarks,9,text,YES
Biharsharif_smartcity_projectwise_progress_report,project_start_date,10,text,YES
Biharsharif_smartcity_projectwise_progress_report,project_completion_date,11,text,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,state_name,1,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,sector_name,2,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,source,3,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,focus_area,4,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,year,5,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,district_name,6,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,block_name,7,varchar(50),YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,school_name,8,text,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,school_type,9,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,school_category,10,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_three_boys,11,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_three_girls,12,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_three_transgender,13,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_three_total,14,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_two_boys,15,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_two_girls,16,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_two_transgender,17,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_two_total,18,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_one_boys,19,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_one_girls,20,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_one_transgender,21,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,pre_primary_one_total,22,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_one_boys,23,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_one_girls,24,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_one_transgender,25,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_one_total,26,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_two_boys,27,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_two_girls,28,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_two_transgender,29,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_two_total,30,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_three_boys,31,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_three_girls,32,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_three_transgender,33,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_three_total,34,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_four_boys,35,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_four_girls,36,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_four_transgender,37,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_four_total,38,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_five_boys,39,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_five_girls,40,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_five_transgender,41,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_five_total,42,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_six_boys,43,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_six_girls,44,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_six_transgender,45,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_six_total,46,int,YES
Block_wise_enrollment_of_students_gender_class_wise_year_wise,class_seven_boys,47,int,YES
